number,value,datetime_start,datetime_complete,duration,params_linear_alpha,params_linear_solver,state
62,0.741366255144033,2022-09-18 03:58:26.764285,2022-09-18 04:04:21.090275,0 days 00:05:54.325990,338212.6861520953,lsqr,COMPLETE
63,0.577925925925926,2022-09-18 03:59:34.018027,2022-09-18 04:05:04.617021,0 days 00:05:30.598994,20131.13529414874,lsqr,COMPLETE
64,0.6010534979423869,2022-09-18 04:01:33.770340,2022-09-18 04:09:15.656143,0 days 00:07:41.885803,201.7792074552152,lsqr,COMPLETE
65,0.7669465020576132,2022-09-18 04:02:39.369031,2022-09-18 04:08:13.998262,0 days 00:05:34.629231,474166.4549539937,lsqr,COMPLETE
66,0.6020246913580247,2022-09-18 04:04:00.266408,2022-09-18 04:11:31.385395,0 days 00:07:31.118987,158.32132481858577,lsqr,COMPLETE
67,0.6007736625514404,2022-09-18 04:04:21.247957,2022-09-18 04:12:01.213707,0 days 00:07:39.965750,227.74578812580364,lsqr,COMPLETE
68,0.5904197530864197,2022-09-18 04:05:04.854564,2022-09-18 04:11:48.989285,0 days 00:06:44.134721,1105.7140089115119,lsqr,COMPLETE
69,0.5904691358024692,2022-09-18 04:08:14.119206,2022-09-18 04:16:23.654566,0 days 00:08:09.535360,1112.09943786252,lsqr,COMPLETE
70,0.5764115226337447,2022-09-18 04:09:15.838024,2022-09-18 06:11:39.019961,0 days 02:02:23.181937,2334.8862658301146,saga,COMPLETE
71,0.5899094650205761,2022-09-18 04:11:31.479287,2022-09-18 06:17:47.702484,0 days 02:06:16.223197,986.3501937573936,saga,COMPLETE
72,0.5756213991769548,2022-09-18 04:11:49.100066,2022-09-18 06:11:20.242411,0 days 01:59:31.142345,2484.794447799331,saga,COMPLETE
73,0.5776625514403293,2022-09-18 04:12:01.364716,2022-09-18 06:14:43.733095,0 days 02:02:42.368379,2162.7974992004347,saga,COMPLETE
74,0.5721975308641976,2022-09-18 04:16:08.448218,2022-09-18 06:15:19.408822,0 days 01:59:10.960604,2913.034940045226,saga,COMPLETE
75,0.5744362139917696,2022-09-18 04:16:23.734402,2022-09-18 06:14:28.808274,0 days 01:58:05.073872,2613.173508202154,saga,COMPLETE
76,0.5701728395061728,2022-09-18 04:39:23.564572,2022-09-18 06:36:05.985332,0 days 01:56:42.420760,3347.6921850776016,saga,COMPLETE
77,0.5711111111111111,2022-09-18 04:43:05.168043,2022-09-18 06:44:35.874741,0 days 02:01:30.706698,3043.3488719458824,saga,COMPLETE
78,0.5721152263374486,2022-09-18 06:11:20.342700,2022-09-18 07:07:41.693774,0 days 00:56:21.351074,2806.3721009169103,sag,COMPLETE
79,0.6155390946502057,2022-09-18 06:11:39.072810,2022-09-18 07:08:35.881690,0 days 00:56:56.808880,52458.121512464575,sag,COMPLETE
80,0.5635555555555556,2022-09-18 06:14:28.881396,2022-09-18 07:11:12.415643,0 days 00:56:43.534247,6681.993115454832,sag,COMPLETE
81,0.5621069958847738,2022-09-18 06:14:43.835378,2022-09-18 07:09:39.710532,0 days 00:54:55.875154,6473.182223729128,sag,COMPLETE
82,0.6162633744855968,2022-09-18 06:15:19.461699,2022-09-18 07:14:08.673272,0 days 00:58:49.211573,52800.38158557196,sag,COMPLETE
83,0.6136131687242798,2022-09-18 06:17:47.803224,2022-09-18 07:14:01.932151,0 days 00:56:14.128927,49614.34551911805,sag,COMPLETE
84,0.6133004115226337,2022-09-18 06:36:06.086941,2022-09-18 07:32:00.858762,0 days 00:55:54.771821,49552.51537622044,sag,COMPLETE
85,0.6165925925925926,2022-09-18 06:44:35.946679,2022-09-18 07:41:50.750683,0 days 00:57:14.804004,53641.80664321647,sag,COMPLETE
86,0.6183703703703703,2022-09-18 07:07:41.797546,2022-09-18 08:20:25.188824,0 days 01:12:43.391278,55222.494926441264,sag,COMPLETE
87,0.563835390946502,2022-09-18 07:08:35.955287,2022-09-18 08:20:16.713879,0 days 01:11:40.758592,7615.542831305125,sag,COMPLETE
88,0.5633909465020577,2022-09-18 07:09:39.810742,2022-09-18 08:24:32.818269,0 days 01:14:53.007527,7578.865531623171,sag,COMPLETE
89,0.5634897119341564,2022-09-18 07:11:12.488098,2022-09-18 08:25:27.628026,0 days 01:14:15.139928,7373.873292326077,sag,COMPLETE
90,0.5730534979423869,2022-09-18 07:14:02.033958,2022-09-18 08:28:43.546703,0 days 01:14:41.512745,17430.796170558402,sag,COMPLETE
91,0.563604938271605,2022-09-18 07:14:08.775396,2022-09-18 08:28:25.081353,0 days 01:14:16.305957,7759.818652537741,sag,COMPLETE
92,0.5629300411522633,2022-09-18 07:32:00.961292,2022-09-18 08:49:05.676762,0 days 01:17:04.715470,7546.5560733246775,sag,COMPLETE
93,0.5630123456790124,2022-09-18 07:41:50.823782,2022-09-18 07:47:45.206570,0 days 00:05:54.382788,9376.815608254647,sparse_cg,COMPLETE
94,0.5783539094650205,2022-09-18 07:47:45.279746,2022-09-18 07:53:13.984762,0 days 00:05:28.705016,20440.848556056222,sparse_cg,COMPLETE
95,0.6822551440329219,2022-09-18 07:53:14.057185,2022-09-18 07:56:49.056444,0 days 00:03:34.999259,169389.63403899383,sparse_cg,COMPLETE
96,0.5632592592592592,2022-09-18 07:56:49.128965,2022-09-18 08:00:44.277692,0 days 00:03:55.148727,7854.086511389841,sparse_cg,COMPLETE
97,0.5702551440329219,2022-09-18 08:00:44.349884,2022-09-18 08:05:20.882580,0 days 00:04:36.532696,16013.578757563435,sparse_cg,COMPLETE
98,0.5632098765432099,2022-09-18 08:05:20.954518,2022-09-18 08:10:12.710398,0 days 00:04:51.755880,7362.143124400485,sparse_cg,COMPLETE
99,0.5945020576131688,2022-09-18 08:10:12.783894,2022-09-18 08:15:59.170005,0 days 00:05:46.386111,574.252364085819,sparse_cg,COMPLETE
100,0.5632592592592592,2022-09-18 08:15:59.242935,2022-09-18 08:20:27.115446,0 days 00:04:27.872511,7870.256575608574,sparse_cg,COMPLETE
101,0.5635061728395061,2022-09-18 08:20:16.831432,2022-09-18 08:30:25.196760,0 days 00:10:08.365328,5805.6715893432765,sparse_cg,COMPLETE
102,0.5689053497942387,2022-09-18 08:20:25.571052,2022-09-18 08:30:50.699970,0 days 00:10:25.128918,14974.866523150893,sparse_cg,COMPLETE
103,0.5693004115226337,2022-09-18 08:20:27.183766,2022-09-18 08:30:58.366676,0 days 00:10:31.182910,15319.434541886043,sparse_cg,COMPLETE
104,0.8042139917695473,2022-09-18 08:24:32.944646,2022-09-18 08:35:06.354944,0 days 00:10:33.410298,1185716.7327819867,sparse_cg,COMPLETE
105,0.569530864197531,2022-09-18 08:25:27.729681,2022-09-18 08:36:24.101157,0 days 00:10:56.371476,15456.59740360184,sparse_cg,COMPLETE
106,0.5899588477366255,2022-09-18 08:28:25.150328,2022-09-18 08:39:15.591425,0 days 00:10:50.441097,28303.696764306027,sparse_cg,COMPLETE
107,0.5833086419753086,2022-09-18 08:28:43.663660,2022-09-18 08:39:19.163484,0 days 00:10:35.499824,23844.20303688615,sparse_cg,COMPLETE
108,0.5920000000000001,2022-09-18 08:30:25.266038,2022-09-18 08:41:08.448017,0 days 00:10:43.181979,30021.14179853536,sparse_cg,COMPLETE
109,0.5951111111111111,2022-09-18 08:30:50.798103,2022-09-18 08:41:27.515693,0 days 00:10:36.717590,33000.185651537184,sparse_cg,COMPLETE
110,0.5972016460905349,2022-09-18 08:30:58.497356,2022-09-18 08:42:02.568738,0 days 00:11:04.071382,34829.0971939714,sparse_cg,COMPLETE
111,0.567045267489712,2022-09-18 08:35:06.449292,2022-09-18 08:46:00.800274,0 days 00:10:54.350982,4126.1432946428,sparse_cg,COMPLETE
112,0.591917695473251,2022-09-18 08:36:24.167534,2022-09-18 08:37:08.189547,0 days 00:00:44.022013,29936.795479780798,svd,COMPLETE
113,0.567045267489712,2022-09-18 08:37:08.264964,2022-09-18 08:48:02.134735,0 days 00:10:53.869771,4163.92411732132,sparse_cg,COMPLETE
