Index,Criterion,Min_Samples_Leaf,Min_Samples_Split,N_Estimators,Loss
61,0,8,0.21782298910818387,118,0.795917695473251
62,0,7,0.3193408538654938,99,0.8482798353909465
63,0,10,0.28451179003022636,108,0.8396543209876544
64,0,5,0.1486265302582641,93,0.7489876543209877
65,0,9,0.19713765033514163,129,0.7806255144032922
66,0,10,0.3211853272668793,136,0.846156378600823
67,0,8,0.2534390230796968,74,0.8352592592592593
68,0,7,0.39684407293673163,67,0.891358024691358
69,0,11,0.23136209187428525,79,0.8199670781893005
70,0,5,0.10131689864594498,60,0.7321810699588478
71,0,2,0.03466522648356424,85,0.5884279835390946
72,0,6,0.5147350589679693,69,0.9378930041152264
73,0,3,0.14608729770985376,35,0.8139423868312757
74,0,5,0.08156749834837446,101,0.6739423868312757
75,0,7,0.1835773453703742,92,0.7824526748971193
76,0,8,0.02466654217865577,122,0.5365925925925925
77,0,6,0.20466027501860318,80,0.8055637860082305
78,0,3,0.17743262316375552,148,0.7705843621399177
79,0,10,0.059066812559237236,113,0.6407242798353909
80,0,14,0.13045546405673747,140,0.7135802469135802
81,0,12,0.26726881693604365,160,0.8175473251028806
82,0,1,0.08786105462296266,121,0.6792098765432099
83,0,16,0.0033235781316393043,155,0.3567078189300411
84,0,17,0.15797267609771318,163,0.7404279835390947
85,0,13,0.049719855737552936,135,0.6118024691358025
86,0,1,0.11964833547137087,105,0.725843621399177
87,0,2,0.4749755330637996,17,0.9766913580246913
88,0,2,0.42328107261167275,143,0.8841975308641975
89,0,1,0.07669643034219942,110,0.6680329218106995
90,0,3,0.34252830999584116,130,0.853201646090535
91,0,4,0.00865883971515978,153,0.43236213991769545
92,0,5,0.10175376412028991,172,0.6851851851851851
93,0,3,0.13334740868640665,57,0.7629300411522634
94,1,5,0.211654697386846,46,0.868477366255144
95,0,1,0.10227065458849158,59,0.7343868312757202
96,0,2,0.30302081301715234,50,0.8712263374485597
97,0,14,0.0531512177002328,90,0.6376296296296295
98,1,16,0.3887769829867154,70,0.9277366255144033
99,0,15,0.17278090869431773,88,0.7721316872427983
100,0,13,0.06857680331224035,32,0.735127572016461
101,0,20,0.03506649767036636,50,0.6199012345679012
102,1,18,0.2997948514877633,101,0.8762139917695473
103,0,19,0.21916760565585786,187,0.7765761316872428
104,0,17,0.5855642521018347,195,0.91040329218107
105,0,16,0.7719581227701255,41,0.9998024691358025
106,1,15,0.3496882938259998,175,0.8828312757201646
107,0,18,0.0017174528692669028,95,0.3239506172839506
108,0,13,0.659700625512386,77,0.9998024691358025
109,0,14,0.14244868315753645,126,0.734238683127572
110,0,12,0.08563955983976464,102,0.6864691358024692
111,0,9,0.1605159524755843,117,0.7555555555555555
112,1,11,0.4368659234470238,83,0.9305679012345679
113,0,14,0.02365337526688332,116,0.5346502057613169
114,0,11,0.8918205102954699,183,0.9998024691358025
115,0,16,0.032539658857703345,146,0.5544855967078189
116,0,15,0.2601738985158026,83,0.8310123456790124
117,1,12,0.23252247931963793,97,0.8525102880658436
118,0,17,0.5123216600842508,109,0.9213168724279835
119,0,10,0.186389348425282,71,0.7996543209876543
120,0,13,0.4715763726256262,66,0.9271440329218107
121,0,19,0.3218177435077417,87,0.8468641975308642
122,0,8,0.0642653430233663,74,0.6657777777777778
123,0,10,0.0498080724005252,111,0.618567901234568
124,1,9,0.11309784836252648,125,0.7766748971193416
125,0,7,0.27817047432087577,105,0.8343374485596708
126,0,4,0.034210896530913686,36,0.6519341563786007
127,0,7,0.842845078434254,21,0.9998024691358025
128,0,20,0.001570667708791433,28,0.3986666666666666
129,1,17,0.1269179567697301,46,0.8020411522633745
130,0,18,0.7037989860379821,51,0.9998024691358025
131,0,20,0.0459804099962282,53,0.6417448559670782
132,0,14,0.7532927626532144,92,0.9998024691358025
133,0,20,0.36415407803980926,62,0.8731522633744856
134,1,18,0.1971616739510325,90,0.8406090534979423
135,0,8,0.16084262629106966,78,0.7760658436213992
136,0,11,0.3944518267605954,12,0.9712921810699588
137,0,19,0.020594155956820806,38,0.5915061728395061
138,0,14,0.09520524787538698,65,0.7248230452674898
139,1,16,0.22988314407757898,43,0.8739423868312757
140,0,6,0.13836714385305748,135,0.7293168724279835
141,0,12,0.6054372511315252,133,0.9177448559670782
142,0,15,0.07808879442071039,168,0.6502716049382716
143,1,13,0.3076310879324891,195,0.8523950617283951
144,0,15,0.002000212603775406,164,0.31507818930041154
145,0,19,0.043787615922443436,16,0.7532839506172839
146,0,20,0.017539095433510808,138,0.49878189300411524
147,0,8,0.09527907905768368,122,0.6896460905349795
148,0,2,0.1161745687736387,157,0.7043621399176955
149,0,9,0.17028245342431803,152,0.7627489711934157
150,0,5,0.05875239624668156,121,0.6324773662551441
151,0,4,0.19748474657464105,199,0.7634897119341564
152,0,7,0.07150612903292489,141,0.6514238683127572
153,0,3,0.000448764582108737,176,0.22037860082304528
154,0,20,0.020408655126614897,26,0.618074074074074
155,0,19,0.2514761937340999,191,0.7958847736625514
156,0,4,0.15011984991892208,181,0.7308971193415638
157,0,17,0.11824483956730891,33,0.7899588477366255
