Index,Algorithm,Leaf,Neighbours,Weights,Loss
163,0,175,2,0,0.1059259259259259
164,2,171,3,0,0.1109465020576131
165,2,966,3,0,0.1108806584362139
166,2,972,993,0,0.25038683127572
167,0,785,3,0,0.1108806584362139
168,0,221,2,0,0.1059259259259259
169,0,238,2,0,0.1059259259259259
170,0,238,2,0,0.1059259259259259
171,0,238,2,0,0.1059259259259259
172,0,188,2,0,0.1059259259259259
173,0,74,2,0,0.1059259259259259
174,0,98,2,0,0.1059259259259259
175,2,487,2,0,0.1059259259259259
176,1,217,2,0,0.1060082304526749
177,0,247,2,0,0.1059259259259259
178,0,895,2,0,0.1059259259259259
179,2,532,2,0,0.1059259259259259
180,2,528,2,0,0.1059259259259259
181,2,509,2,0,0.1059259259259259
182,0,554,3,0,0.1108971193415637
183,2,414,3,0,0.1108806584362139
184,0,410,3,0,0.1108971193415637
185,2,423,3,0,0.1108806584362139
186,0,41,3,0,0.1109300411522634
187,2,65,3,1,0.1445267489711934
188,0,143,16,0,0.1391769547325102
189,2,795,2,0,0.1059259259259259
190,0,787,2,0,0.1059259259259259
191,0,704,2,0,0.1059259259259259
192,0,699,2,0,0.1059259259259259
193,0,639,2,0,0.1059259259259259
194,2,70,2,0,0.1059259259259259
195,2,314,2,0,0.1059259259259259
196,2,66,2,0,0.1059259259259259
197,1,158,2,0,0.1060082304526749
198,2,306,15,0,0.1378765432098765
199,2,285,2,0,0.1059259259259259
